Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type,temp_diff,load_ratio,humidity_impact,Machine failure
2,298.3,308.4,1444,47.5,178,0,0,0,0,0,2025-01-02 02:20:00,27,81,49,0,1,10.099999999999966,0.81,39.690000000000005,0
2,298.2,308.3,1560,33.0,181,0,0,0,0,0,2025-01-02 02:21:00,34,39,51,2,1,10.100000000000025,0.39,19.89,0
0,298.1,308.3,1530,42.0,184,0,0,0,0,0,2025-01-02 02:22:00,33,75,85,1,1,10.199999999999989,0.75,63.75,0
1,298.2,308.4,1310,61.0,189,0,0,0,1,0,2025-01-02 02:23:00,37,57,57,0,1,10.199999999999989,0.57,32.489999999999995,1
2,298.2,308.3,1639,33.3,191,0,0,0,0,0,2025-01-02 02:24:00,39,72,58,1,1,10.100000000000025,0.72,41.76,0
1,298.2,308.3,1400,48.7,194,0,0,0,0,0,2025-01-02 02:25:00,26,55,77,1,1,10.100000000000025,0.55,42.35,0
2,298.3,308.4,1486,44.2,196,0,0,0,0,0,2025-01-02 02:26:00,22,84,76,0,1,10.099999999999966,0.84,63.84,0
2,298.2,308.3,1448,43.3,199,0,0,0,0,0,2025-01-02 02:27:00,31,77,66,0,1,10.100000000000025,0.77,50.82,0
1,298.2,308.3,1688,32.0,202,0,0,0,0,0,2025-01-02 02:28:00,40,58,87,1,1,10.100000000000025,0.58,50.46,0
2,298.1,308.3,1453,41.5,204,0,0,0,0,0,2025-01-02 02:29:00,22,56,53,0,1,10.199999999999989,0.56,29.680000000000003,0
1,298.2,308.4,1497,37.7,207,0,0,0,0,0,2025-01-02 02:30:00,39,47,84,1,1,10.199999999999989,0.47,39.48,0
1,298.2,308.4,1355,49.4,209,0,0,0,0,0,2025-01-02 02:31:00,33,89,73,2,1,10.199999999999989,0.89,64.97,0
1,298.1,308.4,1592,38.2,211,0,0,0,0,0,2025-01-02 02:32:00,34,98,41,2,0,10.299999999999956,0.98,40.18,0
1,298.0,308.3,1544,34.7,213,0,0,0,0,0,2025-01-02 02:33:00,33,50,83,0,0,10.300000000000011,0.5,41.5,0
2,298.0,308.2,1373,51.2,215,0,0,0,0,0,2025-01-02 02:34:00,26,53,72,0,1,10.199999999999989,0.53,38.16,0
1,298.0,308.2,1365,52.9,218,0,0,0,1,0,2025-01-02 02:35:00,36,32,58,2,1,10.199999999999989,0.32,18.56,1
1,298.0,308.1,1877,24.3,0,0,0,0,0,0,2025-01-02 02:36:00,31,91,66,1,0,10.100000000000025,0.91,60.06,0
1,297.9,308.1,1531,40.8,2,0,0,0,0,0,2025-01-02 02:37:00,39,31,87,1,0,10.200000000000044,0.31,26.97,0
1,297.9,308.0,1501,36.7,4,0,0,0,0,0,2025-01-02 02:38:00,23,95,69,1,1,10.100000000000025,0.95,65.55,0
1,297.9,308.0,1490,46.2,6,0,0,0,0,0,2025-01-02 02:39:00,28,71,46,0,1,10.100000000000025,0.71,32.66,0
2,297.8,307.8,1543,43.7,8,0,0,0,0,0,2025-01-02 02:40:00,25,63,66,1,1,10.0,0.63,41.58,0
1,297.8,307.8,1597,38.2,11,0,0,0,0,0,2025-01-02 02:41:00,35,71,60,0,1,10.0,0.71,42.6,0
0,297.8,307.9,1600,33.5,13,0,0,0,0,0,2025-01-02 02:42:00,40,49,46,0,1,10.099999999999966,0.49,22.54,0
2,297.8,307.8,1622,32.1,18,0,0,0,0,0,2025-01-02 02:43:00,40,97,87,0,0,10.0,0.97,84.39,0
1,297.8,307.8,1452,39.8,21,0,0,0,0,0,2025-01-02 02:44:00,21,74,64,2,1,10.0,0.74,47.36,0
1,297.8,307.8,1396,42.5,23,0,0,0,0,0,2025-01-02 02:45:00,27,71,77,1,0,10.0,0.71,54.67,0
1,297.8,307.7,1505,39.7,25,0,0,0,0,0,2025-01-02 02:46:00,30,76,57,0,0,9.899999999999975,0.76,43.32,0
1,297.8,307.8,1412,48.3,27,0,0,0,0,0,2025-01-02 02:47:00,32,34,72,1,1,10.0,0.34,24.48,0
1,297.8,307.7,1393,38.0,29,0,0,0,0,0,2025-01-02 02:48:00,36,78,72,2,1,9.899999999999975,0.78,56.16,0
1,297.7,307.7,1581,34.9,31,0,0,0,0,0,2025-01-02 02:49:00,27,66,71,1,0,10.0,0.66,46.86,0
1,297.8,307.8,1573,37.9,33,0,0,0,0,0,2025-01-02 02:50:00,40,63,64,2,1,10.0,0.63,40.32,0
2,297.8,307.9,1726,27.3,35,0,0,0,0,0,2025-01-02 02:51:00,37,99,53,0,0,10.099999999999966,0.99,52.47,0
2,297.9,307.9,1540,39.8,38,0,0,0,0,0,2025-01-02 02:52:00,37,47,77,0,0,10.0,0.47,36.19,0
1,297.9,308.0,1296,62.9,41,0,0,0,0,0,2025-01-02 02:53:00,33,48,77,2,1,10.100000000000025,0.48,36.96,0
2,297.8,307.9,1802,25.8,43,0,0,0,0,0,2025-01-02 02:54:00,34,69,43,0,1,10.099999999999966,0.69,29.67,0
1,297.8,307.9,1447,48.6,46,0,0,0,0,0,2025-01-02 02:55:00,25,46,83,1,1,10.099999999999966,0.46,38.18,0
0,297.8,307.8,1662,30.7,48,0,0,0,0,0,2025-01-02 02:56:00,30,89,57,1,0,10.0,0.89,50.73,0
1,297.8,307.8,1563,34.3,53,0,0,0,0,0,2025-01-02 02:57:00,32,71,49,2,0,10.0,0.71,34.79,0
1,297.9,307.8,1286,59.5,55,0,0,0,0,0,2025-01-02 02:58:00,20,94,74,1,0,9.900000000000034,0.94,69.56,0
1,297.9,307.7,1590,34.6,57,0,0,0,0,0,2025-01-02 02:59:00,25,82,74,0,1,9.800000000000011,0.82,60.68,0
1,297.9,307.7,1492,43.7,59,0,0,0,0,0,2025-01-02 03:00:00,28,36,79,0,0,9.800000000000011,0.36,28.44,0
1,297.7,307.6,1844,21.9,61,0,0,0,0,0,2025-01-02 03:01:00,27,34,62,0,1,9.900000000000034,0.34,21.08,0
0,297.7,307.6,1538,38.3,63,0,0,0,0,0,2025-01-02 03:02:00,30,53,64,1,1,9.900000000000034,0.53,33.92,0
1,297.7,307.6,1921,22.9,68,0,0,0,0,0,2025-01-02 03:03:00,38,57,40,0,0,9.900000000000034,0.57,22.8,0
2,297.8,307.8,1310,57.9,70,0,0,0,0,0,2025-01-02 03:04:00,28,91,57,1,1,10.0,0.91,51.870000000000005,0
1,297.9,307.8,1365,46.9,73,0,0,0,0,0,2025-01-02 03:05:00,36,46,54,2,0,9.900000000000034,0.46,24.84,0
2,297.9,307.8,1303,59.3,75,0,0,0,0,0,2025-01-02 03:06:00,31,49,64,0,1,9.900000000000034,0.49,31.36,0
1,297.9,307.8,1499,37.5,78,0,0,0,0,0,2025-01-02 03:07:00,33,32,71,2,1,9.900000000000034,0.32,22.72,0
1,297.9,307.8,1451,38.2,80,0,0,0,0,0,2025-01-02 03:08:00,34,66,59,1,0,9.900000000000034,0.66,38.940000000000005,0
2,297.9,307.9,1336,54.4,82,0,0,0,0,0,2025-01-02 03:09:00,35,44,56,1,1,10.0,0.44,24.64,0
1,297.9,307.9,1412,44.5,85,0,0,0,0,0,2025-01-02 03:10:00,39,80,50,2,0,10.0,0.8,40.0,0
1,298.0,308.0,1433,39.2,87,0,0,0,0,0,2025-01-02 03:11:00,20,77,52,0,1,10.0,0.77,40.04,0
1,297.9,307.9,1426,43.6,89,0,0,0,0,0,2025-01-02 03:12:00,29,37,64,0,0,10.0,0.37,23.68,0
1,297.9,307.9,1476,45.2,91,0,0,0,0,0,2025-01-02 03:13:00,27,42,59,0,0,10.0,0.42,24.78,0
0,297.9,307.9,1406,58.5,93,0,0,0,0,0,2025-01-02 03:14:00,37,77,64,2,1,10.0,0.77,49.28,0
1,297.8,307.8,1383,56.5,98,0,0,0,0,0,2025-01-02 03:15:00,20,32,81,1,1,10.0,0.32,25.92,0
1,297.9,307.8,1505,37.3,100,0,0,0,0,0,2025-01-02 03:16:00,21,94,84,2,0,9.900000000000034,0.94,78.96,0
1,297.9,307.8,1665,33.9,102,0,0,0,0,0,2025-01-02 03:17:00,20,60,88,1,0,9.900000000000034,0.6,52.8,0
1,297.9,307.8,1397,45.0,104,0,0,0,0,0,2025-01-02 03:18:00,20,55,70,0,0,9.900000000000034,0.55,38.5,0
2,297.9,307.8,1450,43.5,106,0,0,0,0,0,2025-01-02 03:19:00,28,85,40,0,0,9.900000000000034,0.85,34.0,0
1,298.0,307.8,1567,36.4,109,0,0,0,0,0,2025-01-02 03:20:00,32,63,55,1,1,9.800000000000011,0.63,34.65,0
2,298.0,308.0,1555,37.0,111,0,0,0,0,0,2025-01-02 03:21:00,20,38,87,0,1,10.0,0.38,33.06,0
0,298.0,307.8,1588,35.4,114,0,0,0,0,0,2025-01-02 03:22:00,32,91,67,2,1,9.800000000000011,0.91,60.97,0
1,298.0,307.8,1453,37.7,119,0,0,0,0,0,2025-01-02 03:23:00,39,42,60,1,1,9.800000000000011,0.42,25.2,0
1,298.0,307.8,1622,33.3,121,0,0,0,0,0,2025-01-02 03:24:00,26,98,69,0,1,9.800000000000011,0.98,67.62,0
1,297.9,307.8,1538,38.5,123,0,0,0,0,0,2025-01-02 03:25:00,21,70,42,0,0,9.900000000000034,0.7,29.4,0
2,297.9,307.7,1527,42.8,125,0,0,0,0,0,2025-01-02 03:26:00,25,30,73,0,0,9.800000000000011,0.3,21.9,0
1,297.8,307.8,1761,28.9,128,0,0,0,0,0,2025-01-02 03:27:00,26,76,45,0,1,10.0,0.76,34.2,0
1,297.9,307.8,1373,50.2,130,0,0,0,0,0,2025-01-02 03:28:00,33,33,82,1,1,9.900000000000034,0.33,27.06,0
0,298.0,307.9,1482,37.8,132,0,0,0,0,0,2025-01-02 03:29:00,37,92,68,1,0,9.899999999999975,0.92,62.56,0
2,298.0,307.9,1417,51.0,137,0,0,0,0,0,2025-01-02 03:30:00,34,81,42,0,1,9.899999999999975,0.81,34.02,0
1,298.0,307.8,1414,51.7,140,0,0,0,0,0,2025-01-02 03:31:00,21,39,72,2,1,9.800000000000011,0.39,28.08,0
0,297.9,307.8,1635,34.0,142,0,0,0,0,0,2025-01-02 03:32:00,29,57,50,2,0,9.900000000000034,0.57,28.5,0
1,298.0,307.8,1386,57.3,147,0,0,0,0,0,2025-01-02 03:33:00,31,35,84,2,1,9.800000000000011,0.35,29.4,0
1,298.2,308.1,1379,62.3,149,0,0,0,0,0,2025-01-02 03:34:00,36,56,44,2,1,9.900000000000034,0.56,24.64,0
2,298.2,308.0,1577,35.9,151,0,0,0,0,0,2025-01-02 03:35:00,27,41,89,1,1,9.800000000000011,0.41,36.49,0
1,298.2,308.1,1532,42.5,154,0,0,0,0,0,2025-01-02 03:36:00,30,91,71,1,1,9.900000000000034,0.91,64.61,0
2,298.1,308.0,1374,48.8,156,0,0,0,0,0,2025-01-02 03:37:00,22,81,86,2,0,9.899999999999975,0.81,69.66000000000001,0
0,298.1,308.0,1570,35.3,159,0,0,0,0,0,2025-01-02 03:38:00,25,77,57,1,1,9.899999999999975,0.77,43.89,0
1,298.1,308.0,1697,31.0,164,0,0,0,0,0,2025-01-02 03:39:00,28,96,86,2,1,9.899999999999975,0.96,82.56,0
1,298.2,308.0,1499,44.1,166,0,0,0,0,0,2025-01-02 03:40:00,25,75,59,0,0,9.800000000000011,0.75,44.25,0
2,298.2,308.0,1411,47.2,168,0,0,0,0,0,2025-01-02 03:41:00,28,44,78,0,0,9.800000000000011,0.44,34.32,0
0,298.2,307.9,1462,45.5,171,0,0,0,0,0,2025-01-02 03:42:00,26,100,88,2,0,9.699999999999989,1.0,88.0,0
2,298.1,307.9,1759,28.6,176,0,0,0,0,0,2025-01-02 03:43:00,28,65,79,1,1,9.799999999999956,0.65,51.35,0
1,298.2,308.0,1535,38.0,179,0,0,0,0,0,2025-01-02 03:44:00,37,43,67,2,0,9.800000000000011,0.43,28.81,0
0,298.2,307.9,1491,39.7,181,0,0,0,0,0,2025-01-02 03:45:00,31,32,52,1,0,9.699999999999989,0.32,16.64,0
1,298.2,307.9,1551,36.0,186,0,0,0,0,0,2025-01-02 03:46:00,27,96,65,0,1,9.699999999999989,0.96,62.4,0
1,298.2,307.9,1769,27.2,188,0,0,0,0,0,2025-01-02 03:47:00,27,48,55,1,0,9.699999999999989,0.48,26.4,0
1,298.2,307.9,1551,34.1,190,0,0,0,0,0,2025-01-02 03:48:00,37,83,64,2,1,9.699999999999989,0.83,53.12,0
1,298.2,307.9,1544,31.4,192,0,0,0,0,0,2025-01-02 03:49:00,39,98,49,0,1,9.699999999999989,0.98,48.02,0
1,298.2,307.8,1528,31.1,194,0,0,0,0,0,2025-01-02 03:50:00,34,39,68,0,1,9.600000000000025,0.39,26.52,0
1,298.1,307.9,1614,35.8,196,0,0,0,0,0,2025-01-02 03:51:00,26,62,85,1,0,9.799999999999956,0.62,52.7,0
1,298.1,307.8,1432,49.8,198,0,0,0,0,0,2025-01-02 03:52:00,30,42,77,0,1,9.699999999999989,0.42,32.34,0
2,298.1,307.8,1384,43.7,200,0,0,0,0,0,2025-01-02 03:53:00,39,80,59,0,0,9.699999999999989,0.8,47.2,0
1,298.1,307.8,1540,37.8,203,0,0,0,0,0,2025-01-02 03:54:00,35,61,65,1,0,9.699999999999989,0.61,39.65,0
1,298.0,307.7,1407,43.9,205,0,0,0,0,0,2025-01-02 03:55:00,23,53,71,0,1,9.699999999999989,0.53,37.63,0
0,297.9,307.6,1418,43.0,207,0,0,0,0,0,2025-01-02 03:56:00,25,64,78,2,1,9.700000000000044,0.64,49.92,0
2,297.9,307.5,1647,30.8,212,0,0,0,0,0,2025-01-02 03:57:00,22,99,77,1,0,9.600000000000025,0.99,76.23,0
1,298.0,307.5,1644,32.8,215,0,0,0,0,0,2025-01-02 03:58:00,28,69,88,1,1,9.5,0.69,60.72,0
1,298.0,307.5,1792,27.9,217,0,0,0,0,0,2025-01-02 03:59:00,29,83,63,1,0,9.5,0.83,52.29,0
2,297.9,307.4,1610,34.6,219,0,0,0,0,0,2025-01-02 04:00:00,33,73,70,1,0,9.5,0.73,51.1,0
2,297.8,307.3,1804,26.0,222,0,0,0,0,0,2025-01-02 04:01:00,30,91,79,2,0,9.5,0.91,71.89,0
0,297.9,307.4,1604,36.1,225,1,0,0,0,0,2025-01-02 04:02:00,37,97,51,1,0,9.5,0.97,49.47,1
2,297.9,307.4,1403,52.8,0,0,0,0,0,0,2025-01-02 04:03:00,31,62,75,2,0,9.5,0.62,46.5,0
1,297.8,307.3,1438,44.5,3,0,0,0,0,0,2025-01-02 04:04:00,31,85,49,1,0,9.5,0.85,41.65,0
1,297.9,307.3,1824,26.3,5,0,0,0,0,0,2025-01-02 04:05:00,32,65,45,1,1,9.400000000000034,0.65,29.25,0
0,297.9,307.3,1663,28.7,7,0,0,0,0,0,2025-01-02 04:06:00,32,83,46,0,0,9.400000000000034,0.83,38.18,0
1,297.9,307.3,1502,36.7,12,0,0,0,0,0,2025-01-02 04:07:00,38,48,70,0,0,9.400000000000034,0.48,33.6,0
1,297.9,307.4,1606,35.5,14,0,0,0,0,0,2025-01-02 04:08:00,38,72,66,2,1,9.5,0.72,47.52,0
1,297.9,307.5,1561,37.7,16,0,0,0,0,0,2025-01-02 04:09:00,33,41,47,0,1,9.600000000000025,0.41,19.27,0
2,297.9,307.4,1435,42.9,18,0,0,0,0,0,2025-01-02 04:10:00,23,40,42,1,0,9.5,0.4,16.8,0
1,297.9,307.5,1602,38.3,21,0,0,0,0,0,2025-01-02 04:11:00,32,99,79,2,0,9.600000000000025,0.99,78.21,0
2,298.1,307.6,1764,27.7,23,0,0,0,0,0,2025-01-02 04:12:00,27,41,86,0,0,9.5,0.41,35.26,0
0,298.0,307.5,1683,27.8,26,0,0,0,0,0,2025-01-02 04:13:00,40,70,60,1,1,9.5,0.7,42.0,0
1,298.0,307.5,1618,35.2,31,0,0,0,0,0,2025-01-02 04:14:00,38,54,40,0,0,9.5,0.54,21.6,0
1,298.0,307.6,1509,41.6,33,0,0,0,0,0,2025-01-02 04:15:00,31,32,84,0,0,9.600000000000025,0.32,26.88,0
1,297.9,307.6,1550,39.0,35,0,0,0,0,0,2025-01-02 04:16:00,37,32,89,0,1,9.700000000000044,0.32,28.48,0
2,297.9,307.6,1519,44.0,37,0,0,0,0,0,2025-01-02 04:17:00,25,57,54,0,1,9.700000000000044,0.57,30.78,0
1,297.9,307.6,1481,38.0,40,0,0,0,0,0,2025-01-02 04:18:00,37,52,46,1,1,9.700000000000044,0.52,23.92,0
1,298.1,307.7,1289,48.3,42,0,0,0,0,0,2025-01-02 04:19:00,38,77,54,0,0,9.599999999999966,0.77,41.58,0
2,298.0,307.6,1844,23.8,44,0,0,0,0,0,2025-01-02 04:20:00,24,96,64,2,1,9.600000000000025,0.96,61.44,0
1,298.0,307.7,1479,42.5,47,0,0,0,0,0,2025-01-02 04:21:00,28,71,42,2,0,9.699999999999989,0.71,29.82,0
1,298.0,307.7,1430,47.3,49,0,0,0,0,0,2025-01-02 04:22:00,22,69,69,0,1,9.699999999999989,0.69,47.61,0
2,298.1,307.8,1636,36.7,51,0,0,0,0,0,2025-01-02 04:23:00,29,35,53,2,1,9.699999999999989,0.35,18.55,0
2,298.1,307.8,1503,44.7,54,0,0,0,0,0,2025-01-02 04:24:00,38,49,43,0,0,9.699999999999989,0.49,21.07,0
2,298.1,307.8,1608,32.6,57,0,0,0,0,0,2025-01-02 04:25:00,22,40,75,1,0,9.699999999999989,0.4,30.0,0
1,298.2,307.8,1521,42.9,60,0,0,0,0,0,2025-01-02 04:26:00,34,56,42,1,1,9.600000000000025,0.56,23.520000000000003,0
1,298.2,307.8,1439,41.6,62,0,0,0,0,0,2025-01-02 04:27:00,20,50,44,2,0,9.600000000000025,0.5,22.0,0
1,298.2,307.8,1627,31.5,64,0,0,0,0,0,2025-01-02 04:28:00,26,42,64,2,0,9.600000000000025,0.42,26.88,0
1,298.2,307.8,1749,26.1,66,0,0,0,0,0,2025-01-02 04:29:00,31,64,70,0,1,9.600000000000025,0.64,44.8,0
1,298.2,307.8,1530,35.9,68,0,0,0,0,0,2025-01-02 04:30:00,36,76,50,0,0,9.600000000000025,0.76,38.0,0
1,298.2,307.8,1355,51.3,70,0,0,0,0,0,2025-01-02 04:31:00,40,57,47,0,0,9.600000000000025,0.57,26.79,0
1,298.3,307.9,1551,33.8,72,0,0,0,0,0,2025-01-02 04:32:00,39,50,65,1,1,9.599999999999966,0.5,32.5,0
1,298.2,307.8,1515,46.7,74,0,0,0,0,0,2025-01-02 04:33:00,24,47,41,0,0,9.600000000000025,0.47,19.27,0
1,298.2,307.8,1388,48.6,76,0,0,0,0,0,2025-01-02 04:34:00,23,60,67,1,0,9.600000000000025,0.6,40.2,0
1,298.2,307.8,1585,34.6,78,0,0,0,0,0,2025-01-02 04:35:00,31,89,87,2,0,9.600000000000025,0.89,77.43,0
1,298.1,307.7,1523,37.7,80,0,0,0,0,0,2025-01-02 04:36:00,39,66,49,1,1,9.599999999999966,0.66,32.34,0
1,298.2,307.6,1369,54.5,82,0,0,0,0,0,2025-01-02 04:37:00,37,50,89,2,0,9.400000000000034,0.5,44.5,0
2,298.2,307.7,1681,31.0,84,0,0,0,0,0,2025-01-02 04:38:00,36,43,78,1,0,9.5,0.43,33.54,0
1,298.2,307.7,1503,38.3,87,0,0,0,0,0,2025-01-02 04:39:00,38,89,76,1,0,9.5,0.89,67.64,0
1,298.2,307.7,1459,44.5,89,0,0,0,0,0,2025-01-02 04:40:00,28,52,78,0,0,9.5,0.52,40.56,0
1,298.2,307.7,1688,32.4,91,0,0,0,0,0,2025-01-02 04:41:00,23,58,60,2,0,9.5,0.58,34.8,0
2,298.2,307.7,1952,21.6,93,0,0,0,0,0,2025-01-02 04:42:00,40,76,67,1,1,9.5,0.76,50.92,0
1,298.2,307.8,2029,19.9,96,0,0,0,0,0,2025-01-02 04:43:00,21,59,77,1,0,9.600000000000025,0.59,45.43,0
2,298.3,307.8,1457,52.5,98,0,0,0,0,0,2025-01-02 04:44:00,23,67,72,2,1,9.5,0.67,48.24,0
2,298.3,307.8,1392,50.4,101,0,0,0,0,0,2025-01-02 04:45:00,21,56,50,1,0,9.5,0.56,28.000000000000004,0
1,298.3,307.8,1906,22.1,104,0,0,0,0,0,2025-01-02 04:46:00,34,44,84,2,1,9.5,0.44,36.96,0
2,298.3,307.7,1602,33.4,106,0,0,0,0,0,2025-01-02 04:47:00,21,88,83,2,0,9.399999999999975,0.88,73.04,0
1,298.3,307.7,1465,49.4,109,0,0,0,0,0,2025-01-02 04:48:00,23,32,40,2,1,9.399999999999975,0.32,12.8,0
2,298.3,307.7,1439,43.8,111,0,0,0,0,0,2025-01-02 04:49:00,25,39,86,1,0,9.399999999999975,0.39,33.54,0
2,298.3,307.8,1330,55.4,114,0,0,0,0,0,2025-01-02 04:50:00,26,46,72,1,0,9.5,0.46,33.120000000000005,0
2,298.3,307.9,1485,42.0,117,0,0,0,0,0,2025-01-02 04:51:00,29,40,42,0,0,9.599999999999966,0.4,16.8,0
0,298.4,307.9,1700,28.2,120,0,0,0,0,0,2025-01-02 04:52:00,38,77,65,2,0,9.5,0.77,50.05,0
1,298.4,308.0,1515,42.8,125,0,0,0,0,0,2025-01-02 04:53:00,38,34,54,1,1,9.600000000000025,0.34,18.360000000000003,0
2,298.5,308.1,1501,39.2,127,0,0,0,0,0,2025-01-02 04:54:00,31,98,80,1,0,9.600000000000025,0.98,78.4,0
1,298.4,308.0,1380,47.6,130,0,0,0,0,0,2025-01-02 04:55:00,22,93,53,2,0,9.600000000000025,0.93,49.29,0
1,298.4,307.9,1544,35.9,132,0,0,0,0,0,2025-01-02 04:56:00,32,43,62,2,0,9.5,0.43,26.66,0
1,298.4,307.9,1743,27.3,134,0,0,0,0,0,2025-01-02 04:57:00,37,79,47,2,0,9.5,0.79,37.13,0
0,298.4,307.9,1948,21.4,136,0,0,0,0,0,2025-01-02 04:58:00,27,55,75,0,1,9.5,0.55,41.25,0
0,298.5,307.9,1260,54.2,141,0,0,0,0,0,2025-01-02 04:59:00,40,98,59,0,0,9.399999999999975,0.98,57.82,0
2,298.5,307.9,1640,33.1,146,0,0,0,0,0,2025-01-02 05:00:00,34,36,45,0,0,9.399999999999975,0.36,16.2,0
2,298.5,308.0,1363,49.2,149,0,0,0,0,0,2025-01-02 05:01:00,20,45,72,2,0,9.5,0.45,32.4,0
1,298.5,308.0,1379,49.6,152,0,0,0,0,0,2025-01-02 05:02:00,22,84,67,1,0,9.5,0.84,56.28,0
2,298.5,308.0,1713,25.8,154,0,0,0,0,0,2025-01-02 05:03:00,27,85,89,2,1,9.5,0.85,75.64999999999999,0
2,298.5,308.0,1461,51.9,157,0,0,0,0,0,2025-01-02 05:04:00,23,33,77,1,0,9.5,0.33,25.41,0
1,298.5,308.0,1624,29.8,160,0,0,0,0,0,2025-01-02 05:05:00,35,77,69,0,1,9.5,0.77,53.13,0
1,298.4,308.0,1526,41.1,162,0,0,0,0,0,2025-01-02 05:06:00,29,46,85,0,0,9.600000000000025,0.46,39.1,0
1,298.4,307.9,2381,14.2,164,0,0,0,0,0,2025-01-02 05:07:00,31,65,82,0,1,9.5,0.65,53.3,0
0,298.4,307.7,1626,31.1,166,0,0,0,0,1,2025-01-02 05:08:00,33,99,56,1,1,9.300000000000011,0.99,55.44,0
1,298.3,307.7,1576,33.8,171,0,0,0,0,0,2025-01-02 05:09:00,33,67,48,1,0,9.399999999999975,0.67,32.160000000000004,0
2,298.4,307.8,1617,31.6,173,0,0,0,0,0,2025-01-02 05:10:00,21,91,67,2,0,9.400000000000034,0.91,60.97,0
1,298.3,307.6,1942,20.6,176,0,0,0,0,0,2025-01-02 05:11:00,24,77,46,2,0,9.300000000000011,0.77,35.42,0
1,298.2,307.6,1492,37.2,178,0,0,0,0,0,2025-01-02 05:12:00,24,39,85,2,0,9.400000000000034,0.39,33.15,0
1,298.2,307.5,1470,51.3,180,0,0,0,0,0,2025-01-02 05:13:00,25,65,67,0,1,9.300000000000011,0.65,43.55,0
2,298.0,307.4,1463,46.5,182,0,0,0,0,0,2025-01-02 05:14:00,32,58,56,2,1,9.399999999999975,0.58,32.48,0
1,298.0,307.3,1424,46.5,185,0,0,0,0,0,2025-01-02 05:15:00,28,33,79,0,1,9.300000000000011,0.33,26.07,0
2,298.1,307.4,1363,60.1,187,0,0,0,0,0,2025-01-02 05:16:00,34,73,87,1,1,9.299999999999956,0.73,63.51,0
2,298.1,307.4,1335,56.2,190,0,0,0,0,0,2025-01-02 05:17:00,33,85,83,0,0,9.299999999999956,0.85,70.55,0
1,298.1,307.4,1608,33.9,193,0,0,0,0,0,2025-01-02 05:18:00,26,71,83,0,0,9.299999999999956,0.71,58.93,0
0,298.0,307.4,1606,35.2,195,0,0,0,0,0,2025-01-02 05:19:00,39,42,44,0,1,9.399999999999975,0.42,18.48,0
1,298.1,307.5,1684,33.1,200,0,0,0,0,0,2025-01-02 05:20:00,21,75,44,1,0,9.399999999999975,0.75,33.0,0
1,298.1,307.6,1950,20.3,202,0,0,0,0,0,2025-01-02 05:21:00,26,62,53,1,1,9.5,0.62,32.86,0
0,298.2,307.6,1460,48.6,204,0,0,0,0,0,2025-01-02 05:22:00,25,50,45,2,1,9.400000000000034,0.5,22.5,0
1,298.2,307.6,1511,31.0,209,1,0,0,0,0,2025-01-02 05:23:00,36,86,46,2,1,9.400000000000034,0.86,39.56,1
0,298.2,307.6,1318,55.7,0,0,0,0,0,0,2025-01-02 05:24:00,21,98,56,2,0,9.400000000000034,0.98,54.88,0
1,298.2,307.6,1368,51.8,5,0,0,0,0,0,2025-01-02 05:25:00,22,99,48,1,1,9.400000000000034,0.99,47.52,0
2,298.3,307.7,1717,27.1,7,0,0,0,0,0,2025-01-02 05:26:00,24,96,70,1,1,9.399999999999975,0.96,67.2,0
2,298.3,307.7,1520,41.4,10,0,0,0,0,0,2025-01-02 05:27:00,24,77,61,1,1,9.399999999999975,0.77,46.97,0
2,298.3,307.8,1485,42.0,13,0,0,0,0,0,2025-01-02 05:28:00,20,62,84,1,0,9.5,0.62,52.08,0
1,298.4,307.9,1981,23.2,16,0,0,0,0,0,2025-01-02 05:29:00,27,65,48,1,0,9.5,0.65,31.200000000000003,0
0,298.4,307.9,1605,31.0,18,0,0,0,0,0,2025-01-02 05:30:00,31,62,55,0,1,9.5,0.62,34.1,0
1,298.4,307.9,1446,45.3,23,0,0,0,0,0,2025-01-02 05:31:00,23,60,75,2,0,9.5,0.6,45.0,0
1,298.4,308.0,1508,47.9,25,0,0,0,0,0,2025-01-02 05:32:00,32,50,73,0,0,9.600000000000025,0.5,36.5,0
1,298.5,308.0,1384,59.5,27,0,0,0,0,0,2025-01-02 05:33:00,34,56,84,2,0,9.5,0.56,47.040000000000006,0
2,298.5,308.0,1519,37.3,29,0,0,0,0,0,2025-01-02 05:34:00,30,91,52,0,0,9.5,0.91,47.32,0
1,298.5,308.0,1404,48.1,32,0,0,0,0,0,2025-01-02 05:35:00,29,55,58,1,1,9.5,0.55,31.9,0
1,298.5,308.1,1564,31.1,34,0,0,0,0,0,2025-01-02 05:36:00,22,95,51,2,1,9.600000000000025,0.95,48.45,0
0,298.6,308.2,1555,36.8,36,0,0,0,0,0,2025-01-02 05:37:00,33,41,75,0,1,9.599999999999966,0.41,30.75,0
1,298.6,308.2,1325,54.0,41,0,0,0,0,0,2025-01-02 05:38:00,35,51,49,2,1,9.599999999999966,0.51,24.99,0
2,298.6,308.2,1488,44.0,43,0,0,0,0,0,2025-01-02 05:39:00,29,46,55,1,0,9.599999999999966,0.46,25.3,0
