UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,Timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type
1687,H31100,H,297.9,307.3,1663,28.7,7,0,0,0,0,0,0,2025-01-02 04:06:00,2025-01-02 04:06:00,32,83,46,Evening,Weekday
1688,L48867,L,297.9,307.3,1502,36.7,12,0,0,0,0,0,0,2025-01-02 04:07:00,2025-01-02 04:07:00,38,48,70,Evening,Weekday
1689,L48868,L,297.9,307.4,1606,35.5,14,0,0,0,0,0,0,2025-01-02 04:08:00,2025-01-02 04:08:00,38,72,66,Night,Weekend
1690,L48869,L,297.9,307.5,1561,37.7,16,0,0,0,0,0,0,2025-01-02 04:09:00,2025-01-02 04:09:00,33,41,47,Evening,Weekend
1691,M16550,M,297.9,307.4,1435,42.9,18,0,0,0,0,0,0,2025-01-02 04:10:00,2025-01-02 04:10:00,23,40,42,Morning,Weekday
1692,L48871,L,297.9,307.5,1602,38.3,21,0,0,0,0,0,0,2025-01-02 04:11:00,2025-01-02 04:11:00,32,99,79,Night,Weekday
1693,M16552,M,298.1,307.6,1764,27.7,23,0,0,0,0,0,0,2025-01-02 04:12:00,2025-01-02 04:12:00,27,41,86,Evening,Weekday
1694,H31107,H,298.0,307.5,1683,27.8,26,0,0,0,0,0,0,2025-01-02 04:13:00,2025-01-02 04:13:00,40,70,60,Morning,Weekend
1695,L48874,L,298.0,307.5,1618,35.2,31,0,0,0,0,0,0,2025-01-02 04:14:00,2025-01-02 04:14:00,38,54,40,Evening,Weekday
1696,L48875,L,298.0,307.6,1509,41.6,33,0,0,0,0,0,0,2025-01-02 04:15:00,2025-01-02 04:15:00,31,32,84,Evening,Weekday
1697,L48876,L,297.9,307.6,1550,39.0,35,0,0,0,0,0,0,2025-01-02 04:16:00,2025-01-02 04:16:00,37,32,89,Evening,Weekend
1698,M16557,M,297.9,307.6,1519,44.0,37,0,0,0,0,0,0,2025-01-02 04:17:00,2025-01-02 04:17:00,25,57,54,Evening,Weekend
1699,L48878,L,297.9,307.6,1481,38.0,40,0,0,0,0,0,0,2025-01-02 04:18:00,2025-01-02 04:18:00,37,52,46,Morning,Weekend
1700,L48879,L,298.1,307.7,1289,48.3,42,0,0,0,0,0,0,2025-01-02 04:19:00,2025-01-02 04:19:00,38,77,54,Evening,Weekday
1701,M16560,M,298.0,307.6,1844,23.8,44,0,0,0,0,0,0,2025-01-02 04:20:00,2025-01-02 04:20:00,24,96,64,Night,Weekend
1702,L48881,L,298.0,307.7,1479,42.5,47,0,0,0,0,0,0,2025-01-02 04:21:00,2025-01-02 04:21:00,28,71,42,Night,Weekday
1703,L48882,L,298.0,307.7,1430,47.3,49,0,0,0,0,0,0,2025-01-02 04:22:00,2025-01-02 04:22:00,22,69,69,Evening,Weekend
1704,M16563,M,298.1,307.8,1636,36.7,51,0,0,0,0,0,0,2025-01-02 04:23:00,2025-01-02 04:23:00,29,35,53,Night,Weekend
1705,M16564,M,298.1,307.8,1503,44.7,54,0,0,0,0,0,0,2025-01-02 04:24:00,2025-01-02 04:24:00,38,49,43,Evening,Weekday
1706,M16565,M,298.1,307.8,1608,32.6,57,0,0,0,0,0,0,2025-01-02 04:25:00,2025-01-02 04:25:00,22,40,75,Morning,Weekday
1707,L48886,L,298.2,307.8,1521,42.9,60,0,0,0,0,0,0,2025-01-02 04:26:00,2025-01-02 04:26:00,34,56,42,Morning,Weekend
1708,L48887,L,298.2,307.8,1439,41.6,62,0,0,0,0,0,0,2025-01-02 04:27:00,2025-01-02 04:27:00,20,50,44,Night,Weekday
1709,L48888,L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0,2025-01-02 04:28:00,2025-01-02 04:28:00,26,42,64,Night,Weekday
1710,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0,2025-01-02 04:29:00,2025-01-02 04:29:00,31,64,70,Evening,Weekend
1711,L48890,L,298.2,307.8,1530,35.9,68,0,0,0,0,0,0,2025-01-02 04:30:00,2025-01-02 04:30:00,36,76,50,Evening,Weekday
1712,L48891,L,298.2,307.8,1355,51.3,70,0,0,0,0,0,0,2025-01-02 04:31:00,2025-01-02 04:31:00,40,57,47,Evening,Weekday
1713,L48892,L,298.3,307.9,1551,33.8,72,0,0,0,0,0,0,2025-01-02 04:32:00,2025-01-02 04:32:00,39,50,65,Morning,Weekend
1714,L48893,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,0,2025-01-02 04:33:00,2025-01-02 04:33:00,24,47,41,Evening,Weekday
1715,L48894,L,298.2,307.8,1388,48.6,76,0,0,0,0,0,0,2025-01-02 04:34:00,2025-01-02 04:34:00,23,60,67,Morning,Weekday
1716,L48895,L,298.2,307.8,1585,34.6,78,0,0,0,0,0,0,2025-01-02 04:35:00,2025-01-02 04:35:00,31,89,87,Night,Weekday
1717,L48896,L,298.1,307.7,1523,37.7,80,0,0,0,0,0,0,2025-01-02 04:36:00,2025-01-02 04:36:00,39,66,49,Morning,Weekend
1718,L48897,L,298.2,307.6,1369,54.5,82,0,0,0,0,0,0,2025-01-02 04:37:00,2025-01-02 04:37:00,37,50,89,Night,Weekday
1719,M16578,M,298.2,307.7,1681,31.0,84,0,0,0,0,0,0,2025-01-02 04:38:00,2025-01-02 04:38:00,36,43,78,Morning,Weekday
1720,L48899,L,298.2,307.7,1503,38.3,87,0,0,0,0,0,0,2025-01-02 04:39:00,2025-01-02 04:39:00,38,89,76,Morning,Weekday
1721,L48900,L,298.2,307.7,1459,44.5,89,0,0,0,0,0,0,2025-01-02 04:40:00,2025-01-02 04:40:00,28,52,78,Evening,Weekday
1722,L48901,L,298.2,307.7,1688,32.4,91,0,0,0,0,0,0,2025-01-02 04:41:00,2025-01-02 04:41:00,23,58,60,Night,Weekday
1723,M16582,M,298.2,307.7,1952,21.6,93,0,0,0,0,0,0,2025-01-02 04:42:00,2025-01-02 04:42:00,40,76,67,Morning,Weekend
1724,L48903,L,298.2,307.8,2029,19.9,96,0,0,0,0,0,0,2025-01-02 04:43:00,2025-01-02 04:43:00,21,59,77,Morning,Weekday
1725,M16584,M,298.3,307.8,1457,52.5,98,0,0,0,0,0,0,2025-01-02 04:44:00,2025-01-02 04:44:00,23,67,72,Night,Weekend
1726,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0,2025-01-02 04:45:00,2025-01-02 04:45:00,21,56,50,Morning,Weekday
1727,L48906,L,298.3,307.8,1906,22.1,104,0,0,0,0,0,0,2025-01-02 04:46:00,2025-01-02 04:46:00,34,44,84,Night,Weekend
1728,M16587,M,298.3,307.7,1602,33.4,106,0,0,0,0,0,0,2025-01-02 04:47:00,2025-01-02 04:47:00,21,88,83,Night,Weekday
1729,L48908,L,298.3,307.7,1465,49.4,109,0,0,0,0,0,0,2025-01-02 04:48:00,2025-01-02 04:48:00,23,32,40,Night,Weekend
1730,M16589,M,298.3,307.7,1439,43.8,111,0,0,0,0,0,0,2025-01-02 04:49:00,2025-01-02 04:49:00,25,39,86,Morning,Weekday
1731,M16590,M,298.3,307.8,1330,55.4,114,0,0,0,0,0,0,2025-01-02 04:50:00,2025-01-02 04:50:00,26,46,72,Morning,Weekday
1732,M16591,M,298.3,307.9,1485,42.0,117,0,0,0,0,0,0,2025-01-02 04:51:00,2025-01-02 04:51:00,29,40,42,Evening,Weekday
1733,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0,2025-01-02 04:52:00,2025-01-02 04:52:00,38,77,65,Night,Weekday
1734,L48913,L,298.4,308.0,1515,42.8,125,0,0,0,0,0,0,2025-01-02 04:53:00,2025-01-02 04:53:00,38,34,54,Morning,Weekend
1735,M16594,M,298.5,308.1,1501,39.2,127,0,0,0,0,0,0,2025-01-02 04:54:00,2025-01-02 04:54:00,31,98,80,Morning,Weekday
1736,L48915,L,298.4,308.0,1380,47.6,130,0,0,0,0,0,0,2025-01-02 04:55:00,2025-01-02 04:55:00,22,93,53,Night,Weekday
1737,L48916,L,298.4,307.9,1544,35.9,132,0,0,0,0,0,0,2025-01-02 04:56:00,2025-01-02 04:56:00,32,43,62,Night,Weekday
1738,L48917,L,298.4,307.9,1743,27.3,134,0,0,0,0,0,0,2025-01-02 04:57:00,2025-01-02 04:57:00,37,79,47,Night,Weekday
1739,H31152,H,298.4,307.9,1948,21.4,136,0,0,0,0,0,0,2025-01-02 04:58:00,2025-01-02 04:58:00,27,55,75,Evening,Weekend
1740,H31153,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,0,2025-01-02 04:59:00,2025-01-02 04:59:00,40,98,59,Evening,Weekday
1741,M16600,M,298.5,307.9,1640,33.1,146,0,0,0,0,0,0,2025-01-02 05:00:00,2025-01-02 05:00:00,34,36,45,Evening,Weekday
1742,M16601,M,298.5,308.0,1363,49.2,149,0,0,0,0,0,0,2025-01-02 05:01:00,2025-01-02 05:01:00,20,45,72,Night,Weekday
1743,L48922,L,298.5,308.0,1379,49.6,152,0,0,0,0,0,0,2025-01-02 05:02:00,2025-01-02 05:02:00,22,84,67,Morning,Weekday
1744,M16603,M,298.5,308.0,1713,25.8,154,0,0,0,0,0,0,2025-01-02 05:03:00,2025-01-02 05:03:00,27,85,89,Night,Weekend
1745,M16604,M,298.5,308.0,1461,51.9,157,0,0,0,0,0,0,2025-01-02 05:04:00,2025-01-02 05:04:00,23,33,77,Morning,Weekday
1746,L48925,L,298.5,308.0,1624,29.8,160,0,0,0,0,0,0,2025-01-02 05:05:00,2025-01-02 05:05:00,35,77,69,Evening,Weekend
1747,L48926,L,298.4,308.0,1526,41.1,162,0,0,0,0,0,0,2025-01-02 05:06:00,2025-01-02 05:06:00,29,46,85,Evening,Weekday
1748,L48927,L,298.4,307.9,2381,14.2,164,0,0,0,0,0,0,2025-01-02 05:07:00,2025-01-02 05:07:00,31,65,82,Evening,Weekend
1749,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1,2025-01-02 05:08:00,2025-01-02 05:08:00,33,99,56,Morning,Weekend
1750,L48929,L,298.3,307.7,1576,33.8,171,0,0,0,0,0,0,2025-01-02 05:09:00,2025-01-02 05:09:00,33,67,48,Morning,Weekday
1751,M16610,M,298.4,307.8,1617,31.6,173,0,0,0,0,0,0,2025-01-02 05:10:00,2025-01-02 05:10:00,21,91,67,Night,Weekday
1752,L48931,L,298.3,307.6,1942,20.6,176,0,0,0,0,0,0,2025-01-02 05:11:00,2025-01-02 05:11:00,24,77,46,Night,Weekday
1753,L48932,L,298.2,307.6,1492,37.2,178,0,0,0,0,0,0,2025-01-02 05:12:00,2025-01-02 05:12:00,24,39,85,Night,Weekday
1754,L48933,L,298.2,307.5,1470,51.3,180,0,0,0,0,0,0,2025-01-02 05:13:00,2025-01-02 05:13:00,25,65,67,Evening,Weekend
1755,M16614,M,298.0,307.4,1463,46.5,182,0,0,0,0,0,0,2025-01-02 05:14:00,2025-01-02 05:14:00,32,58,56,Night,Weekend
1756,L48935,L,298.0,307.3,1424,46.5,185,0,0,0,0,0,0,2025-01-02 05:15:00,2025-01-02 05:15:00,28,33,79,Evening,Weekend
1757,M16616,M,298.1,307.4,1363,60.1,187,0,0,0,0,0,0,2025-01-02 05:16:00,2025-01-02 05:16:00,34,73,87,Morning,Weekend
1758,M16617,M,298.1,307.4,1335,56.2,190,0,0,0,0,0,0,2025-01-02 05:17:00,2025-01-02 05:17:00,33,85,83,Evening,Weekday
1759,L48938,L,298.1,307.4,1608,33.9,193,0,0,0,0,0,0,2025-01-02 05:18:00,2025-01-02 05:18:00,26,71,83,Evening,Weekday
1760,H31173,H,298.0,307.4,1606,35.2,195,0,0,0,0,0,0,2025-01-02 05:19:00,2025-01-02 05:19:00,39,42,44,Evening,Weekend
1761,L48940,L,298.1,307.5,1684,33.1,200,0,0,0,0,0,0,2025-01-02 05:20:00,2025-01-02 05:20:00,21,75,44,Morning,Weekday
1762,L48941,L,298.1,307.6,1950,20.3,202,0,0,0,0,0,0,2025-01-02 05:21:00,2025-01-02 05:21:00,26,62,53,Morning,Weekend
1763,H31176,H,298.2,307.6,1460,48.6,204,0,0,0,0,0,0,2025-01-02 05:22:00,2025-01-02 05:22:00,25,50,45,Night,Weekend
1764,L48943,L,298.2,307.6,1511,31.0,209,1,1,0,0,0,0,2025-01-02 05:23:00,2025-01-02 05:23:00,36,86,46,Night,Weekend
1765,H31178,H,298.2,307.6,1318,55.7,0,0,0,0,0,0,0,2025-01-02 05:24:00,2025-01-02 05:24:00,21,98,56,Night,Weekday
1766,L48945,L,298.2,307.6,1368,51.8,5,0,0,0,0,0,0,2025-01-02 05:25:00,2025-01-02 05:25:00,22,99,48,Morning,Weekend
1767,M16626,M,298.3,307.7,1717,27.1,7,0,0,0,0,0,0,2025-01-02 05:26:00,2025-01-02 05:26:00,24,96,70,Morning,Weekend
1768,M16627,M,298.3,307.7,1520,41.4,10,0,0,0,0,0,0,2025-01-02 05:27:00,2025-01-02 05:27:00,24,77,61,Morning,Weekend
1769,M16628,M,298.3,307.8,1485,42.0,13,0,0,0,0,0,0,2025-01-02 05:28:00,2025-01-02 05:28:00,20,62,84,Morning,Weekday
1770,L48949,L,298.4,307.9,1981,23.2,16,0,0,0,0,0,0,2025-01-02 05:29:00,2025-01-02 05:29:00,27,65,48,Morning,Weekday
1771,H31184,H,298.4,307.9,1605,31.0,18,0,0,0,0,0,0,2025-01-02 05:30:00,2025-01-02 05:30:00,31,62,55,Evening,Weekend
1772,L48951,L,298.4,307.9,1446,45.3,23,0,0,0,0,0,0,2025-01-02 05:31:00,2025-01-02 05:31:00,23,60,75,Night,Weekday
1773,L48952,L,298.4,308.0,1508,47.9,25,0,0,0,0,0,0,2025-01-02 05:32:00,2025-01-02 05:32:00,32,50,73,Evening,Weekday
1774,L48953,L,298.5,308.0,1384,59.5,27,0,0,0,0,0,0,2025-01-02 05:33:00,2025-01-02 05:33:00,34,56,84,Night,Weekday
1775,M16634,M,298.5,308.0,1519,37.3,29,0,0,0,0,0,0,2025-01-02 05:34:00,2025-01-02 05:34:00,30,91,52,Evening,Weekday
1776,L48955,L,298.5,308.0,1404,48.1,32,0,0,0,0,0,0,2025-01-02 05:35:00,2025-01-02 05:35:00,29,55,58,Morning,Weekend
1777,L48956,L,298.5,308.1,1564,31.1,34,0,0,0,0,0,0,2025-01-02 05:36:00,2025-01-02 05:36:00,22,95,51,Night,Weekend
1778,H31191,H,298.6,308.2,1555,36.8,36,0,0,0,0,0,0,2025-01-02 05:37:00,2025-01-02 05:37:00,33,41,75,Evening,Weekend
1779,L48958,L,298.6,308.2,1325,54.0,41,0,0,0,0,0,0,2025-01-02 05:38:00,2025-01-02 05:38:00,35,51,49,Night,Weekend
1780,M16639,M,298.6,308.2,1488,44.0,43,0,0,0,0,0,0,2025-01-02 05:39:00,2025-01-02 05:39:00,29,46,55,Morning,Weekday
1781,L48960,L,298.5,308.2,1595,32.3,46,0,0,0,0,0,0,2025-01-02 05:40:00,2025-01-02 05:40:00,29,36,67,Morning,Weekend
1782,L48961,L,298.5,308.1,1662,28.6,48,0,0,0,0,0,0,2025-01-02 05:41:00,2025-01-02 05:41:00,31,97,58,Night,Weekday
1783,L48962,L,298.4,308.0,1571,37.4,50,0,0,0,0,0,0,2025-01-02 05:42:00,2025-01-02 05:42:00,28,66,79,Night,Weekend
1784,H31197,H,298.3,308.0,1553,41.0,52,0,0,0,0,0,0,2025-01-02 05:43:00,2025-01-02 05:43:00,20,67,45,Morning,Weekend
1785,L48964,L,298.3,308.0,2886,3.8,57,1,0,0,1,0,0,2025-01-02 05:44:00,2025-01-02 05:44:00,24,40,43,Morning,Weekday
1786,L48965,L,298.2,308.0,1538,38.2,59,0,0,0,0,0,0,2025-01-02 05:45:00,2025-01-02 05:45:00,39,30,69,Morning,Weekend
1787,L48966,L,298.4,308.2,1618,33.0,61,0,0,0,0,0,0,2025-01-02 05:46:00,2025-01-02 05:46:00,27,54,78,Evening,Weekday
1788,L48967,L,298.4,308.2,1364,45.9,63,0,0,0,0,0,0,2025-01-02 05:47:00,2025-01-02 05:47:00,30,71,70,Night,Weekend
1789,L48968,L,298.3,308.0,1442,47.3,65,0,0,0,0,0,0,2025-01-02 05:48:00,2025-01-02 05:48:00,31,81,85,Morning,Weekend
1790,L48969,L,298.2,307.9,1313,67.3,67,1,0,0,1,0,0,2025-01-02 05:49:00,2025-01-02 05:49:00,20,53,66,Night,Weekday
1791,L48970,L,298.2,307.9,1847,23.6,69,0,0,0,0,0,0,2025-01-02 05:50:00,2025-01-02 05:50:00,39,82,84,Evening,Weekend
1792,L48971,L,298.1,307.8,1524,40.8,71,0,0,0,0,0,0,2025-01-02 05:51:00,2025-01-02 05:51:00,30,85,60,Evening,Weekday
1793,M16652,M,298.1,307.7,1445,48.0,73,0,0,0,0,0,0,2025-01-02 05:52:00,2025-01-02 05:52:00,24,92,76,Morning,Weekday
1794,L48973,L,298.1,307.8,1761,28.2,76,0,0,0,0,0,0,2025-01-02 05:53:00,2025-01-02 05:53:00,34,37,48,Night,Weekend
1795,M16654,M,298.1,307.8,1514,43.5,78,0,0,0,0,0,0,2025-01-02 05:54:00,2025-01-02 05:54:00,24,88,74,Evening,Weekend
1796,M16655,M,298.1,307.7,1498,38.3,81,0,0,0,0,0,0,2025-01-02 05:55:00,2025-01-02 05:55:00,31,74,81,Night,Weekday
1797,H31210,H,298.1,307.6,1542,37.1,84,0,0,0,0,0,0,2025-01-02 05:56:00,2025-01-02 05:56:00,24,56,86,Night,Weekend
1798,M16657,M,298.0,307.6,1508,41.8,89,0,0,0,0,0,0,2025-01-02 05:57:00,2025-01-02 05:57:00,36,81,60,Morning,Weekend
1799,M16658,M,298.0,307.5,1431,52.9,92,0,0,0,0,0,0,2025-01-02 05:58:00,2025-01-02 05:58:00,36,47,56,Evening,Weekday
1800,M16659,M,298.0,307.5,1427,45.1,95,0,0,0,0,0,0,2025-01-02 05:59:00,2025-01-02 05:59:00,31,45,63,Evening,Weekday
1801,M16660,M,298.0,307.5,1524,36.3,98,0,0,0,0,0,0,2025-01-02 06:00:00,2025-01-02 06:00:00,34,95,70,Evening,Weekend
1802,M16661,M,298.0,307.5,1427,43.6,101,0,0,0,0,0,0,2025-01-02 06:01:00,2025-01-02 06:01:00,34,34,45,Night,Weekday
1803,H31216,H,298.1,307.6,1496,44.1,104,0,0,0,0,0,0,2025-01-02 06:02:00,2025-01-02 06:02:00,25,32,74,Evening,Weekend
1804,L48983,L,298.1,307.7,1388,40.3,109,0,0,0,0,0,0,2025-01-02 06:03:00,2025-01-02 06:03:00,31,99,89,Evening,Weekend
1805,L48984,L,298.1,307.7,1495,48.1,111,0,0,0,0,0,0,2025-01-02 06:04:00,2025-01-02 06:04:00,39,36,76,Night,Weekend
1806,H31219,H,298.1,307.7,1376,56.2,113,0,0,0,0,0,0,2025-01-02 06:05:00,2025-01-02 06:05:00,37,79,52,Evening,Weekday
1807,H31220,H,298.0,307.6,1593,32.2,118,0,0,0,0,0,0,2025-01-02 06:06:00,2025-01-02 06:06:00,33,43,64,Evening,Weekday
1808,L48987,L,298.0,307.6,1654,28.9,123,0,0,0,0,0,0,2025-01-02 06:07:00,2025-01-02 06:07:00,21,67,71,Night,Weekend
1809,L48988,L,298.1,307.7,2567,12.8,125,1,0,0,1,0,0,2025-01-02 06:08:00,2025-01-02 06:08:00,28,76,40,Evening,Weekday
1810,L48989,L,298.1,307.7,1767,27.0,127,0,0,0,0,0,0,2025-01-02 06:09:00,2025-01-02 06:09:00,24,62,88,Morning,Weekday
1811,L48990,L,298.1,307.6,1364,53.8,129,0,0,0,0,0,0,2025-01-02 06:10:00,2025-01-02 06:10:00,39,72,74,Night,Weekday
1812,M16671,M,298.1,307.8,1569,31.2,131,0,0,0,0,0,0,2025-01-02 06:11:00,2025-01-02 06:11:00,20,58,58,Evening,Weekday
1813,L48992,L,298.2,307.8,1476,36.8,134,0,0,0,0,0,0,2025-01-02 06:12:00,2025-01-02 06:12:00,22,86,51,Morning,Weekday
1814,L48993,L,298.1,307.7,1479,45.0,136,0,0,0,0,0,0,2025-01-02 06:13:00,2025-01-02 06:13:00,25,34,79,Night,Weekend
1815,L48994,L,298.1,307.7,1650,34.1,138,0,0,0,0,0,0,2025-01-02 06:14:00,2025-01-02 06:14:00,24,89,79,Evening,Weekday
1816,M16675,M,298.1,307.6,1565,36.3,140,0,0,0,0,0,0,2025-01-02 06:15:00,2025-01-02 06:15:00,40,99,86,Night,Weekday
1817,L48996,L,298.1,307.6,1460,46.5,143,0,0,0,0,0,0,2025-01-02 06:16:00,2025-01-02 06:16:00,24,31,82,Morning,Weekday
1818,L48997,L,298.1,307.7,1664,27.6,145,0,0,0,0,0,0,2025-01-02 06:17:00,2025-01-02 06:17:00,20,99,59,Night,Weekend
1819,M16678,M,298.1,307.7,1435,40.9,147,0,0,0,0,0,0,2025-01-02 06:18:00,2025-01-02 06:18:00,36,72,72,Evening,Weekend
1820,M16679,M,298.1,307.6,2066,19.2,150,0,0,0,0,0,0,2025-01-02 06:19:00,2025-01-02 06:19:00,38,33,68,Morning,Weekday
1821,L49000,L,298.1,307.5,1493,43.7,153,0,0,0,0,0,0,2025-01-02 06:20:00,2025-01-02 06:20:00,33,85,55,Night,Weekend
1822,L49001,L,298.1,307.6,1354,43.3,155,0,0,0,0,0,0,2025-01-02 06:21:00,2025-01-02 06:21:00,31,88,53,Evening,Weekday
1823,L49002,L,298.1,307.6,1488,39.4,157,0,0,0,0,0,0,2025-01-02 06:22:00,2025-01-02 06:22:00,29,38,46,Evening,Weekend
1824,L49003,L,298.1,307.7,1414,48.7,159,0,0,0,0,0,0,2025-01-02 06:23:00,2025-01-02 06:23:00,39,32,45,Morning,Weekend
1825,L49004,L,298.1,307.5,1391,57.4,161,0,0,0,0,0,0,2025-01-02 06:24:00,2025-01-02 06:24:00,40,77,60,Morning,Weekday
1826,M16685,M,298.0,307.5,1784,27.8,163,0,0,0,0,0,0,2025-01-02 06:25:00,2025-01-02 06:25:00,37,72,75,Night,Weekend
1827,H31240,H,297.8,307.3,1516,40.1,166,0,0,0,0,0,0,2025-01-02 06:26:00,2025-01-02 06:26:00,30,30,61,Evening,Weekday
1828,M16687,M,297.9,307.3,1420,47.8,171,0,0,0,0,0,0,2025-01-02 06:27:00,2025-01-02 06:27:00,21,86,79,Morning,Weekday
1829,L49008,L,297.8,307.2,1351,56.3,174,0,0,0,0,0,0,2025-01-02 06:28:00,2025-01-02 06:28:00,37,82,58,Evening,Weekend
1830,L49009,L,297.8,307.2,1880,23.0,176,0,0,0,0,0,0,2025-01-02 06:29:00,2025-01-02 06:29:00,26,45,64,Night,Weekend
1831,L49010,L,297.8,307.3,1859,24.0,178,0,0,0,0,0,0,2025-01-02 06:30:00,2025-01-02 06:30:00,34,80,42,Morning,Weekend
1832,M16691,M,297.8,307.3,1315,54.0,180,0,0,0,0,0,0,2025-01-02 06:31:00,2025-01-02 06:31:00,30,84,75,Night,Weekday
1833,M16692,M,297.8,307.4,1330,51.7,183,0,0,0,0,0,0,2025-01-02 06:32:00,2025-01-02 06:32:00,37,30,84,Night,Weekday
1834,L49013,L,297.8,307.3,1327,61.0,186,1,0,0,0,1,0,2025-01-02 06:33:00,2025-01-02 06:33:00,31,57,73,Morning,Weekday
1835,L49014,L,297.8,307.2,1498,38.1,188,0,0,0,0,0,0,2025-01-02 06:34:00,2025-01-02 06:34:00,25,82,50,Night,Weekend
1836,H31249,H,297.8,307.3,1555,35.8,190,0,0,0,0,0,0,2025-01-02 06:35:00,2025-01-02 06:35:00,39,87,87,Evening,Weekend
1837,L49016,L,297.7,307.2,1518,35.8,195,0,0,0,0,0,0,2025-01-02 06:36:00,2025-01-02 06:36:00,32,89,81,Morning,Weekend
1838,L49017,L,297.7,307.2,1392,43.0,197,0,0,0,0,0,0,2025-01-02 06:37:00,2025-01-02 06:37:00,39,88,86,Evening,Weekend
1839,M16698,M,297.8,307.2,1456,39.6,199,0,0,0,0,0,0,2025-01-02 06:38:00,2025-01-02 06:38:00,35,51,66,Night,Weekday
1840,L49019,L,297.7,307.1,1715,30.2,0,0,0,0,0,0,0,2025-01-02 06:39:00,2025-01-02 06:39:00,37,37,81,Morning,Weekend
1841,M16700,M,297.7,307.2,1405,43.7,2,0,0,0,0,0,0,2025-01-02 06:40:00,2025-01-02 06:40:00,29,78,41,Evening,Weekday
1842,L49021,L,297.7,307.2,1668,37.8,5,0,0,0,0,0,0,2025-01-02 06:41:00,2025-01-02 06:41:00,27,71,45,Evening,Weekday
1843,H31256,H,297.7,307.1,1855,22.5,7,0,0,0,0,0,0,2025-01-02 06:42:00,2025-01-02 06:42:00,37,56,85,Evening,Weekday
1844,L49023,L,297.6,307.1,1496,39.2,12,0,0,0,0,0,0,2025-01-02 06:43:00,2025-01-02 06:43:00,40,68,41,Evening,Weekend
1845,M16704,M,297.6,307.1,1471,44.9,14,0,0,0,0,0,0,2025-01-02 06:44:00,2025-01-02 06:44:00,20,54,81,Evening,Weekend
1846,L49025,L,297.7,307.2,1444,40.0,17,0,0,0,0,0,0,2025-01-02 06:45:00,2025-01-02 06:45:00,27,67,56,Night,Weekend
1847,H31260,H,297.7,307.3,1514,38.6,19,0,0,0,0,0,0,2025-01-02 06:46:00,2025-01-02 06:46:00,25,53,79,Night,Weekend
1848,L49027,L,297.8,307.3,1412,50.7,24,0,0,0,0,0,0,2025-01-02 06:47:00,2025-01-02 06:47:00,24,53,87,Night,Weekend
1849,H31262,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0,2025-01-02 06:48:00,2025-01-02 06:48:00,34,89,53,Night,Weekend
1850,L49029,L,297.7,307.2,1668,32.7,31,0,0,0,0,0,0,2025-01-02 06:49:00,2025-01-02 06:49:00,34,79,49,Night,Weekend
1851,M16710,M,297.7,307.2,1372,52.8,33,0,0,0,0,0,0,2025-01-02 06:50:00,2025-01-02 06:50:00,21,95,84,Night,Weekend
1852,M16711,M,297.7,307.3,1365,49.2,36,0,0,0,0,0,0,2025-01-02 06:51:00,2025-01-02 06:51:00,20,43,72,Night,Weekend
1853,M16712,M,297.6,307.1,1526,39.1,39,0,0,0,0,0,0,2025-01-02 06:52:00,2025-01-02 06:52:00,30,82,81,Evening,Weekend
1854,L49033,L,297.6,307.2,1486,40.6,42,0,0,0,0,0,0,2025-01-02 06:53:00,2025-01-02 06:53:00,29,61,51,Night,Weekend
1855,M16714,M,297.6,307.2,1470,42.6,44,0,0,0,0,0,0,2025-01-02 06:54:00,2025-01-02 06:54:00,37,77,71,Evening,Weekend
1856,H31269,H,297.7,307.3,1249,62.8,47,0,0,0,0,0,0,2025-01-02 06:55:00,2025-01-02 06:55:00,37,68,88,Morning,Weekend
1857,M16716,M,297.8,307.4,1752,26.1,52,0,0,0,0,0,0,2025-01-02 06:56:00,2025-01-02 06:56:00,36,69,63,Night,Weekend
1858,L49037,L,297.7,307.4,1643,36.5,55,0,0,0,0,0,0,2025-01-02 06:57:00,2025-01-02 06:57:00,27,71,53,Evening,Weekday
1859,M16718,M,297.8,307.4,1488,36.1,57,0,0,0,0,0,0,2025-01-02 06:58:00,2025-01-02 06:58:00,34,37,44,Morning,Weekday
1860,L49039,L,297.8,307.4,1355,45.8,60,0,0,0,0,0,0,2025-01-02 06:59:00,2025-01-02 06:59:00,27,55,90,Morning,Weekday
1861,L49040,L,297.8,307.6,1607,30.3,62,0,0,0,0,0,0,2025-01-02 07:00:00,2025-01-02 07:00:00,36,41,44,Evening,Weekend
1862,M16721,M,297.9,307.6,1609,30.3,64,0,0,0,0,0,0,2025-01-02 07:01:00,2025-01-02 07:01:00,31,72,86,Evening,Weekday
